Row,x_vect
"13117D",0
"13261X",0
"13379R",0
"13382J",0
"140310",0
"140406",0
"140562",0
"140608",0
"140617",0
"140644",0
"140774",0
"140830",0
"140831",0
"140904",0
"141030",0
"141032",0
"141042",0
"141098",0
"141376",0
"14315H",0
"14357N",0
"14393E",0
"14398P",0
"14411V",0
"14449M",0
"14472L",0
"14476Q",0
"14565Q",0
"146479",0
"14665J",0
"14737M",0
"14737N",0
"14747N",0
"14761K",0
"14833P",0
"14858M",0
"14868T",0
"14875X",0
"14878R",0
"14878U",0
"14909M",0
"14926D",0
"149280",0
"15122P",0
"15128F",0
"15128R",0
"15130T",0
"15136W",0
"15152U",0
"15169W",0
"15173L",0
"15179T",0
"15210W",0
"15223W",0
"15224D",0
"15242X",0
"15284R",0
"15287L",0
"15353X",0
"15363J",0
"15372U",0
"15452X",0
"25518N",0
"256259",0
"256465",0
"256557",0
"256568",0
"256716",0
"25691U",0
"256947",0
"256948",0
"257119",0
"25713L",0
"257147",0.0926351312590039
"257167",0
"257236",0
"257238",0
"257241",0
"257271",0
"257385",0.0556394425180955
"257412",0
"25897N",0
"259511",0
"25967W",0
"26017U",0
"26149X",0
"26178T",0
"261993",0
"26264P",0
"26272X",0
"26273N",0
"26281U",0
"263053",0
"263062",0
"263068",0
"263088",0
"263097",0
"263181",0.0352704658974078
"263281",0.0228898013654351
"26382E",0
"263893",0
"264018",0
"264287",0
"26433U",0
"26464N",0
"26465D",0
"264783",0
"264789",0
"26488M",0
"26553P",0
"26557E",0
"26603K",0
"26608U",0
"266094",0
"266139",0
"26633K",0
"266400",0
"26641X",0
"26659N",0
"26659Q",0
"26675C",0
"26686V",0
"26689P",0
"26709V",0
"26712Q",0
"26784V",0
"26797J",0
"26907P",0
"26924V",0
"26940W",0
"269528",0
"269737",0
"269748",0
"27014U",0
"27039N",0
"27043M",0
"27055W",0
"27073N",0
"27110W",0
"27112M",0
"27155W",0
"27257L",0
"27274R",0
"27337M",0
"27372T",0
"27376C",0
"27386N",0
"27403W",0
"27552C",0
"27620X",0
"27621R",0
"27624D",0
"27761Q",0
"27920U",0
"27943X",0
"27944D",0
"280023",0.00942824792852022
"280082",0
"280084",0
"280092",0
"280093",0
"280142",0.016045277706087
"280178",0.0352152911244734
"280186",0
"280263",0
"280267",0
"280275",0
"280292",0
"280369",0
"280407",0
"280435",0
"280459",0
"280460",0
"280466",0
"280696",0
"280698",0
"280858",0
"280861",0
"280968",0
"28154F",0
"28199W",0
"28213D",0
"28219L",0
"28222H",0
"28232P",0
"28232Q",0
"28238C",0
"28257M",0
"28258H",0
"28413H",0
"28487F",0
"28534W",0.0010406521872385
"28589J",0
"28603H",0
"28624L",0
"28747J",0
"28747L",0
"28798E",0
"28866E",0
"28948R",0
"289644",0
"289862",0
"29000M",0
"29042F",0
"29101D",0
"29102C",0
"29168W",0
"29181M",0
"29235V",0
"292807",0
"29343R",0
"29393C",0
"294000",0
"294001",0
"294006",0
"294051",0
"294053",0
"294054",0
"294069",0
"294088",0
"294114",0
"294124",0
"294127",0
"294152",0
"294153",0
"294157",0
"294180",0
"294206",0
"294221",0
"294234",0
