Row,x_vect
"13119L",0
"13382J",0
"13439K",0
"140184",0
"140310",0
"140333",0
"140376",0
"140378",0
"140406",1.1128086211072e-05
"140473",0
"140562",0
"140603",0
"140608",0
"140644",0
"14071H",0
"140774",0
"140830",0
"140831",1.33647670071769e-05
"140904",1.11534472292502e-05
"140908",1.42926906006916e-05
"141032",0
"141094",1.02018778469052e-05
"141099",0
"141376",0
"141390",0
"14357N",0
"14357P",0
"14393E",0
"14398P",0
"14411W",0
"14446K",0
"14449M",0
"14737M",0
"14737N",0
"14747N",0
"14761K",0
"14765E",0
"14833P",2.15326909795597e-05
"14858M",1.02524242604571e-05
"14878R",0
"14881T",0
"14896H",0
"14917H",0
"149280",0
"15122P",0
"15128R",0
"15152U",0
"15203J",0
"15223W",0
"15242X",0
"15284R",0
"15287L",0
"15347H",0
"15353X",0
"15358J",0
"15372U",0
"15393R",0
"15452X",0
"25518N",1.40920314842086e-05
"256465",0
"256557",0
"256568",0
"256697",0
"256716",0
"25691U",0
"256947",0
"256948",1.37870912986753e-05
"25702C",0
"257119",0
"257147",1.50239432812397e-05
"257152",0
"257156",0
"257167",0
"257238",0
"257241",1.41250335980032e-05
"257271",0
"257276",1.03922509224797e-05
"257403",0
"257412",0
"259511",1.01487986646153e-05
"26057N",0
"26071M",0
"26110N",0
"26110W",0
"26146C",0
"26149X",0
"261993",0
"26264P",0
"26273N",0
"26281U",0
"263068",1.14883885113673e-05
"263088",0
"263097",0
"263281",9.57389017963819e-06
"264018",0
"264287",0
"26433U",0
"26437E",0
"264411",0
"26464N",0
"26465D",0
"264783",1.26044705404824e-05
"264789",1.75438989057539e-05
"265397",0
"26553P",0
"26557E",0
"265630",1.3188242660817e-05
"26599W",0.000240661444295761
"26603K",1.66064887276015e-05
"26633K",0
"26641X",0
"26654E",0
"266593",0.439468674569633
"26659N",0
"26660T",0
"26675C",1.29452337300945e-05
"26702F",0
"26709V",0
"26824N",0
"26880N",0
"26907P",0
"26940W",1.03584308018694e-05
"269528",2.3726379011307e-05
"269737",0
"269748",9.19126994721343e-06
"27014U",0
"27039N",0
"27055V",0
"27260X",0
"27274R",0
"27322J",0
"27327C",0
"27337M",0
"27386N",0
"27552C",0
"27620X",1.74623409736801e-05
"27621R",0
"27825J",0
"27908H",0
"27919X",0
"27926K",0
"27943X",1.86344952210521e-05
"27973V",0
"280082",0
"280084",1.78621512619582e-05
"280178",0
"280186",0
"280187",1.57123208401255e-05
"280221",0
"280240",0
"280263",0
"280267",0
"28026V",0
"280275",0
"280292",0
"280349",0
"280407",0
"280435",0
"280459",0
"280460",0
"280466",0
"280696",0
"280697",0
"280887",0
"280968",0
"28154P",0
"28199W",0
"28219L",2.30927156367399e-05
"28257M",0
"28258H",1.34918346913449e-05
"28324W",0
"28413H",0
"28487H",0
"28534W",0
"28573X",0
"28589J",0
"28603H",0
"28624L",9.92970013410054e-06
"28722F",0
"28737D",0
"28747J",1.06815590177873e-05
"28747L",0
"28798E",0
"28948R",0
"289862",0
"29042F",0
"29101D",0
"29102C",0
"29116F",0
"29168W",0
"29181M",0
"29235V",0
"292807",0
"29301D",0
"29393C",0
"294000",0
"294051",0
"294053",0
"294086",0
"294180",0
"294202",0
"294219",0
"294221",9.49123682426679e-06
"294234",0
"294236",0
"294255",0
"294261",0
"294292",0
"294298",0
"294309",0
"294324",0
"294358",0
"294371",0
"294380",0
"294390",0
"294456",0
"294488",0
"294604",0
"294660",0
"29508M",0
"29548V",0
"29647R",1.05219028512451e-05
"297009",0
"297035",0
"297036",1.34772021444979e-05
"297037",0
"297045",1.24003271351154e-05
"297048",1.15249072730707e-05
"297055",0
"297096",0
"29717W",0
"29770Q",0
"298293",0
"29830F",0
"298422",0
"298778",1.4198069866321e-05
"29910N",0
"29924E",9.30051779740605e-06
"29941E",0
"299693",0
"29970H",0
"29987Q",0
"30064C",1.08853530749252e-05
"30185X",0
"30186C",0
"30186D",0
"30224F",0
"30313J",1.7265167534928e-05
"30342P",0
"30384C",0
"30410D",0
"30866H",0
"30917T",0
"30942V",0
"31191L",0
"31192C",1.4973647686191e-05
"31192L",1.7853447393527e-05
"31216W",0
"31254Q",0
"31294W",0
"313028",0
"313493",0
"314036",0
"314053",0
"314066",0
"314129",0
"314154",0
"314244",0
"314253",0
"314264",0
"314407",0
"31447H",0
"314527",9.51233457362007e-06
"314529",0
"314542",0
"314556",0
"314560",0
"314564",0
"314579",0
"314585",0
"314640",0
"314647",1.09098723400336e-05
"314648",0
"314650",0
"314679",0
"314681",1.7064152291131e-05
"314682",0
"314691",0
"314698",0
"314710",1.08121381428205e-05
"314713",0
"314715",0.000170035736644142
"314719",0
"314720",0
"314723",0
"314724",0
"314725",0
"314726",1.66020427791791e-05
"314727",0.556271908200553
"314740",0
"314761",0
"314781",0
"314789",0
"314808",0
"314838",0
"314839",0
"314841",0
"314843",0
"314874",0
"314916",0
"314958",0
"315026",4.79994578836341e-05
"315035",0
"315203",0
"315217",0
"315219",4.05370889427558e-05
"315234",0
"315263",0
"315264",0
"315361",0
"315365",0
"315366",1.22903920017257e-05
"315380",0
"315520",0
"315525",0
"315531",0
"315534",0
"315558",0
"315661",0
"315752",0
"315754",0
"315775",0
"315872",0
"315993",0
"316014",0
"316074",0
"316089",0
"316241",0
"316271",0
"316311",0
"316528",0
"316567",0
"316659",0
"316660",9.55426519895128e-06
"316665",1.85560711073426e-05
"316674",0
"316682",9.75290812857264e-06
"316820",0
"316829",1.56230088484169e-05
"317182",0
"317191",2.85221077481146e-05
"317483",0
"317520",1.11384583219216e-05
"317639",0
"31764Q",0
"317789",0
"317826",0
"31898D",9.80582982159552e-06
"32016U",0
"32086H",0
"32167V",0
"32171L",0
"32176C",0
"32176D",0
"32278P",0
"32313E",0
"32314V",0
"32344U",0
"323527",0
"323608",0
"32361L",0
"32391U",0
"32457D",0
"32496V",0
"32513W",0
"32600W",0
"32706T",0
"32830N",0
"32836U",0
"32937Q",0
"356296",0
"356831",0
"356847",0
"356862",0
"356872",0
"356924",0
"35799N",0
"35941V",0
"36055Q",0
"36090Q",0
"36107V",0
"36188M",0
"362078",0
"362079",0
"362198",0
"362256",0
"362416",0
"362446",0
"41189D",0
"500025",0
"500028",0
"500084",0
"500085",0
"500093",0
"500098",0
"501936",0
"502240",0
"502633",0
"502639",0
"502644",0
"502655",0.000134216996111193
"502663",0
"502670",0
"502672",0
"502679",0
"502684",0
"502687",0
"502693",0
"502696",0
"502698",0
"502715",0
"502719",0
"502727",0
"502739",0
"502740",1.27352316466129e-05
"503095",0
"503421",0
"503491",0
"50623K",0
"51575N",0
"530617",0
"530618",0
"530619",0
"530620",0
"530621",0
"530622",0
"530623",1.54892818030288e-05
"530626",0
"530630",0
"530979",1.5661223377216e-05
"540311",0
"540313",0
"540317",0
"540322",0
"540323",2.23286753349274e-05
"540324",0
"540325",0
"540329",0
"540330",0
"540435",1.27688985690833e-05
"540537",0
"540800",0
"675017",0
"675034",2.01453614338538e-05
"675084",9.57263644072796e-06
"675129",0
"675148",0
"675156",0
"675157",1.06834863998258e-05
"675162",0
"675290",0
"675291",0
"675293",9.71529434797338e-06
"675423",0
"675424",1.43214054526207e-05
"675527",0
"675535",2.28374102493977e-05
"675633",0
"675679",0
"675688",0
"675714",0
"675752",0
"675804",0
"675810",0
"675811",0
"675838",0
"675903",0
"675905",0
"675934",0
"675964",1.17691713194102e-05
"675999",0
"691015",1.39041899848285e-05
"691121",0
"691207",0
"691236",0
"691490",0
"691505",1.43649095235586e-05
"691577",0
"691688",0
"691692",0
"691716",0
"691758",0
"691768",0
"691793",0
"691819",0
"691843",1.19904241935847e-05
"691845",0
"691869",0
"691870",1.22055199068034e-05
"691871",0
"691872",0
"691885",0
"691899",0
"691910",0
"691911",0
"691912",0
"691934",0
"691937",0
"691956",0
"691958",0
"691971",0
"695966",0
"700490",0
"729652",0
"741299",0
"741515",0
"741866",0
"741885",0
"749870",0
"755101",0
"756099",0
"756101",0
"756102",0
"756111",0
"756112",0
"756114",0
"756115",1.99483852374525e-05
"756116",1.05887255435699e-05
"756120",0
"756121",0
"756122",2.25210436002134e-05
"756124",0
"756125",0
"756126",0
"756130",0
"756131",0
"756132",0
"756133",0
"756135",0
"756136",0
"756137",0
"756962",0
"756963",0
"756966",0
"756967",0
"756968",0
"756970",0
"756971",0
"756973",0
"756974",0
"756975",0
"756977",0
"756979",0
"756980",0
"756981",1.90665193500397e-05
"771298",0
"771332",0
"771574",0
"771582",0
"772045",0
"772056",0
"772057",1.1151410446391e-05
"772058",0
"772059",0
"772070",0
"772071",0
"772078",1.09962507576387e-05
"772089",1.2778601157268e-05
"772090",0
"772091",0
"776949",0
"777078",2.19303187480032e-05
"777080",1.5236610549571e-05
"777085",2.44203513470045e-05
"777086",0
"777098",0
"777102",0
"777111",0
"777116",0
"777120",0
"777122",0
"777123",0
"777124",0
"777128",0
"777129",0
"777131",0
"777141",0
"777152",0
"777153",2.75318967015507e-05
"777157",0
"777395",0
"777400",0
"777401",1.91812669755183e-05
"777407",0
"777410",0
"777411",0
"777412",1.76066144282154e-05
"777413",0
"777416",0
"777418",0
"777421",0
"777423",0
"777424",0
"777425",0
"777426",0
"777433",1.03633875506543e-05
"777436",0
"777438",0
"777450",0
"777453",0
"777455",0
"777460",0
"777463",0
"777464",0
"777870",1.5979311063193e-05
"777883",1.06526804582655e-05
"777885",0
"779571",1.49940406834369e-05
"779675",0
"865028",0
"865092",0
"865276",0
"865302",0
"865347",1.33984640703804e-05
"865358",4.89678909754061e-05
"865381",1.25878276408774e-05
"865382",9.25962574020315e-06
"865384",0
"865475",0
"865502",0
"865517",9.05412042211615e-06
"865596",0
"865654",0
"865691",0
"865693",0
"865706",0
"865724",0
"865733",0
"865743",0
"865748",0.000225920864415358
"865766",0
"870743",0
"877015",0
"877019",0
"877067",0
"878360",0
"879287",0
"879366",0
"879399",1.04696349783719e-05
"887072",0
"887202",0
"887267",0
"887274",1.08993586575992e-05
"887287",0
"887295",0
"887353",0
"887360",0
"887376",3.07373517273482e-05
"887467",2.46498717301051e-05
"887485",0
"887542",0
"887564",0
"887573",0
"887638",1.40711060615821e-05
"887661",0
"887662",0
"887702",0
"887709",0
"887735",0
"887741",0
"887756",0
"887789",0
"887811",0
"887814",0
"887818",0
"887820",0
"887827",1.48950603691372e-05
"887880",0
"887915",0
"887987",0
"890163",0
"890173",0
"890175",0
"890205",0
"890206",0
"890207",2.203191659277e-05
"890221",0
"890224",0.00016105098499962
"890245",0
"890251",0
"890280",0
"890284",0
"890507",0
"890596",0
"890706",0
"890999",0
"896016",0
"896050",0
"896052",0
"896053",0
"896136",0
"896175",0
"896191",0
"896228",0
"898285",0
"905030",0
"906088",0
"912684",0
"912685",0
"922360",0
"923094",0
"929598",0
"930163",0
"930357",0
"936345",1.21563006548571e-05
"937227",0
"937357",0
"938630",0
"938726",0
"938773",0
"944386",0
"950980",0
"951422",0
"952005",0
"952329",0
"952331",0
"952484",0
"981805",0
"981925",0
"992636",0
"992770",0
"993048",0
"993418",0
"997066",0
"997368",0
"997373",0
"998697",0
"999604",0
