Row,x_vect
"13261X",4.90901198557904e-05
"13379R",5.38009749551754e-05
"13382J",1.63147088685248e-05
"13439K",3.71507826999493e-05
"140310",4.00023989243536e-05
"140333",0.000252297794780577
"140376",9.74730424550883e-05
"140378",0
"140406",7.79296428280676e-05
"140562",6.43161733136265e-05
"140603",5.94900095293816e-05
"140608",4.46956420533923e-05
"140617",5.10764286313055e-05
"140644",5.05169750108914e-05
"14071H",6.89036003071025e-05
"140774",5.61523400688546e-05
"140830",1.17826232292271e-05
"140831",0.000138459529588613
"140904",4.69071274505486e-05
"140908",5.95082528385783e-05
"141032",3.90851619458713e-05
"141376",4.15305711968939e-05
"141390",2.26817443892275e-05
"14357N",0.000178421036398673
"14357P",8.25208973783029e-05
"14393E",1.73878880210082e-05
"14398P",9.5526535479405e-05
"14434C",1.65365071858627e-05
"14449M",1.88869001429885e-05
"14565Q",0.432924833295311
"146479",1.34294447326662e-05
"14737M",2.87029140312882e-05
"14737N",8.73905151106051e-05
"14747N",3.66791871407385e-05
"14761K",1.25567700089039e-05
"14833P",4.93427281653061e-05
"14846R",0.000496516393657983
"14858M",0.000258459445347495
"14868T",6.04374654283469e-05
"14875X",8.09863842002189e-05
"14878R",0.000374504965488286
"14909M",4.72670183433413e-05
"14921L",0
"14926D",0
"149280",3.39213892966124e-05
"15107M",2.83084303134494e-05
"15122P",2.43615989747994e-05
"15128R",3.99659083217555e-05
"15130T",5.79804693303534e-05
"15136W",3.01630098417348e-05
"15152U",0.000188762452809774
"15163E",2.2134950543532e-05
"15173L",0.000135633344016335
"15174Q",5.41303200186873e-05
"15210V",3.11965104748433e-05
"15223W",0
"15224D",5.45341444732873e-05
"15242X",9.46748095945743e-05
"15284R",4.33139749606882e-05
"15347H",3.29043000881317e-05
"15353X",2.36595641305479e-05
"15358J",5.68634484481184e-05
"15363J",2.88430386640688e-05
"15372U",5.04472250261468e-05
"15452X",2.93456694013935e-05
"25504W",1.97146137601585e-05
"25518N",5.32052994358542e-05
"256465",1.2613775140051e-05
"256557",9.56030852974547e-06
"256568",1.52079583929951e-05
"256697",0
"256716",4.7437984644142e-05
"25691U",3.09965251472088e-05
"256947",4.31430182179863e-05
"256948",5.10011477853063e-05
"257119",8.48076599190561e-05
"257147",2.86525032487418e-05
"257152",6.59899291765126e-05
"257167",1.54875296869453e-05
"257236",7.66713375174333e-05
"257238",3.05783926622124e-05
"257241",6.99514603074016e-05
"257271",1.75936172337087e-05
"257276",0.000187653788348984
"257385",6.25549518811922e-05
"257412",0.00010132604805616
"25897N",3.15398976671154e-05
"259511",3.89384260300738e-05
"26017U",3.79948598383314e-05
"26110W",4.16267624914545e-05
"26149X",4.59668134073856e-05
"261993",0.000106234883418996
"26264P",4.75322260724426e-05
"26272X",2.87061592088649e-05
"26273N",2.72943187469606e-05
"263068",3.97646245361566e-05
