Row,x_vect
"13117D",0.0246812158702584
"13119L",0.000237261701937315
"13261X",0.00511627250691129
"13382J",0.00776089537665583
"13439K",0.00289152026903395
"140184",0.00268981063352858
"140310",0.00264545746706099
"140333",0.0026719247662311
"140376",0.00247317872714526
"140378",0.0035408995518661
"140406",0.00267134769309792
"140473",0.00360182590976874
"140562",0.00304593472653878
"140603",0.00371542997747325
"140644",0.0560527463585094
"14071H",0.00237692800116754
"140774",0.00315317927133591
"140830",0.00283806585537117
"140831",0.00183885831702823
"140904",0.0040302446882078
"140908",0.00379483674162329
"140993",0.000753563355788572
"141032",0.00354238658949665
"141094",0.00416631609395198
"141376",0.00334915174808565
"141390",0.00889936412315607
"14357N",0.00316220641724793
"14357P",0.00327245120542693
"14393E",0.00311339408733023
"14398P",0.00287820258156422
"14446K",0.019613946545157
"14449M",0.00339128903166089
"14516H",0.00265850094671174
"14565Q",0.0032074629651745
"14737M",0.00239261253839355
"14737N",0.00254612065085244
"14761K",0.00318974842531463
"14833P",0.00398737073969064
"14839R",0.00321966551709927
"14858M",0.00298809425236014
"14878R",0.00297252410821388
"14881T",0.00311997765590754
"14896H",0.00291122134443248
"149009",0.00348538401516928
"14909M",0.00462563558199686
"14925F",0.00286729889762831
"14926J",0.00318413379099125
"149280",0.00314786117234925
"15120F",0.00362638172762767
"15120W",0.00505568309267718
"15122P",0.00318733657886777
"15128R",0.00223098219282376
"15152U",0.00342542091126229
"15163E",0.00337032042116281
"15173L",0.00270246410485727
"15203J",0.00296155451609284
"15210V",0.00329234350419317
"15218P",0.00369478080473067
"15223W",0.00296115470689547
"15242X",0.00348946464723535
"15284R",0.0050394513731853
"15287L",0.00320826449823728
"15347H",0.00323081960409337
"15353X",0.00313229141464935
"15358J",0.0101110846560342
"15372U",0.00285385101822352
"15446N",0.00589533380181436
"15452X",0.00285812632812765
"25518N",0.00310528176260881
"25614R",0.000762339990988293
"256465",0.00343950247935238
"256557",0.00329210809129221
"256568",0.00184226586643262
"256697",0.00365578085494024
"256716",0.00276904405186156
"25691U",0.00301535526945614
"256948",0.00297039389565651
"25702C",0.00360053591312142
"257119",0.00330818459597905
