"","Id","RET"
"1","13261X",1699.80773530834
"2","13382J",25783.3361999947
"3","13439K",7218.19813696611
"4","140310",27178.3928141112
"5","140333",813433.55893932
"6","140376",1027306.37050036
"7","140378",262180.743611749
"8","140406",3248.8056249022
"9","140473",31380.3013724581
"10","140562",803830.617829956
"11","140603",1033.09769147441
"12","140608",7642.6367843624
"13","140644",6262.68418569062
"14","14071H",415.09406006134
"15","140774",1285.70545595838
"16","140830",1336.67142564717
"17","140831",12172.4547603877
"18","140904",4824.52719992792
"19","140908",12918.3999595743
"20","141032",1576.83450097551
"21","141376",3472.10643246694
"22","141390",2449.64124552137
"23","14357N",3167.14447171575
"24","14357P",11042.9510363523
"25","14393E",783449.937149135
"26","14400D",2470.85992795353
"27","14411W",43884.386509344
"28","14449M",22557.4559052791
"29","146479",1884.30358253563
"30","14737M",1690.9472598378
"31","14737N",18506.5177232607
"32","14747N",25160.6422125019
"33","14761K",12068.9973502402
"34","14833P",807.625221866219
"35","14858M",7730.44830049377
"36","14868T",37772.0822051624
"37","14875X",8081.13219942221
"38","14878R",21552.5250762186
"39","14909M",10150.4904591977
"40","14926D",113.230358521494
"41","149280",51330.2130846082
"42","15122P",20999.5792918191
"43","15128R",14535.4796912532
"44","15136W",493.039674828501
"45","15152U",66125.1168973857
"46","15163E",802.077636110144
"47","15210V",876.265323358079
"48","15223W",6306.50806108897
"49","15224D",3886.08367515708
"50","15242X",2352.09342854666
"51","15284R",2898.3791044763
"52","15287L",45052.3828111223
"53","15329E",734.88885466971
"54","15347H",255.243954416763
"55","15353X",196.673540446356
"56","15358J",51.8499419750504
"57","15363J",1593.91509826818
"58","15372U",87712.8855205393
"59","15452X",8932.63033815016
"60","25504W",2541.17011540587
"61","25518N",1277.86272359684
"62","25532J",1932.70087893634
"63","256465",42.5875398496586
"64","256557",26848.291401531
"65","256568",6239.1011114831
"66","256697",23381.5036715957
"67","256716",6430.13863228668
"68","25691U",38698.1522532448
"69","256947",1760.5212255564
"70","256948",378.374611900875
"71","25702C",273.540336493152
