"","Id","RET"
"1","13119L",4309489.69531752
"2","13274P",403139.555095475
"3","13439K",33098.570312506
"4","140184",188279.04865746
"5","140310",4761439.29796741
"6","140333",626221.88467489
"7","140376",3076515.19581944
"8","140378",6335803.5949076
"9","140397",28936.1185754653
"10","140406",27434.1694194725
"11","140472",30965.2081503069
"12","140473",79570.3442665982
"13","140562",17202.4534354257
"14","140644",145569.840148325
"15","14071H",85337.5173415815
"16","140774",2264.82923476229
"17","140830",95670.1700045483
"18","140831",2668.41329359984
"19","140904",39988.6584221186
"20","140908",9261.81299407566
"21","140992",90948.2905624164
"22","141030",24365.5526800095
"23","141032",625889.034417318
"24","141094",222819.277826199
"25","141376",254905.877111658
"26","141390",18716.2554698804
"27","141477",358505.940850176
"28","14357N",18281.5965323504
"29","14357P",12040.2704869815
"30","14392W",3106436.62396637
"31","14393E",103650635.815021
"32","14402P",4136648.153446
"33","14449M",136665.645355353
"34","14565Q",5217390.77802111
"35","14737N",5515373.94761728
"36","14761K",19456585.2075475
"37","14833P",61779.8957231059
"38","14839R",2400.29298601222
"39","14858M",19158.3133910001
"40","14878R",13511144.6570143
"41","14881T",129032.675577493
"42","14896H",181848.003255057
"43","14909M",4313.08381615248
"44","149280",59963.4847454454
"45","15120W",236593.055421325
"46","15122P",3164314.31841784
"47","15128R",13210.4868073568
"48","15128T",3162.56160694404
"49","15152U",4101.0257706839
"50","15163E",18783.0290085971
"51","15210V",14829.3008913744
"52","15218P",3160773.17598977
"53","15223W",2528.05097981233
"54","15224D",24097.8592781069
"55","15242X",119272.503685451
"56","15284R",117873.662060991
"57","15287L",4301352.42487848
"58","15329E",7521.01093854694
"59","15347H",31852.2858811347
"60","15353X",83006.517125759
"61","15358J",1003465.59691564
"62","15372U",2003623.71671609
"63","15446N",48399.7741615532
"64","15447V",2293.82540153906
"65","15452X",1884.36663685987
"66","15470W",4911.97561553992
"67","25529Q",1729388.88416359
"68","25614R",1726007.22981496
"69","256557",12168957.5948121
"70","256568",12596358.6044656
"71","256697",24229.2357367925
"72","256716",42727.8400726682
"73","25691U",20451.1150779003
"74","256948",112079.619426221
"75","25702C",10302412.3562815
"76","257152",28205.5957447902
"77","257167",24892416.4994742
"78","257236",25104.9699480112
"79","257237",129027.55368433
"80","257241",18284.2280982939
"81","257271",4563928.63580033
"82","257276",12198110.9747563
"83","257412",7102.80490040873
"84","259511",40761.1668262145
"85","26057N",6442624.84169531
"86","26110N",26261671.1541802
"87","26110W",4457986.12236824
"88","26146C",7463.65231717666
"89","26149X",67217.2750846743
"90","26154H",12.5836845262853
"91","261993",117253.151597408
"92","26272X",42924.4933631698
"93","26273N",110358.147010437
"94","26281U",8012425.21073294
"95","26281W",26011.3766110838
"96","263068",15830.8955211958
"97","263088",14487.3294780808
"98","263097",23794.1569245463
"99","263281",62780.3689880323
"100","264018",220353.628314086
"101","264287",10571.6009560636
"102","26429J",2583.42110773696
"103","26433U",22172518.2524667
"104","26464N",124651.083297628
"105","26465D",10652911.4350387
"106","264783",9344.58525039891
"107","264789",53708.4362350274
"108","265397",5987.90756052424
"109","26553P",148055.638659786
"110","26557E",6168508.24623756
"111","26574X",33407.4618541423
"112","26603J",29128.6788667142
"113","26633K",14277.6631700028
"114","26641W",5175.9126185356
"115","266593",73607.7844663141
"116","26660T",9392944.85291546
"117","26675C",296607.353657383
"118","26702F",7004651.72061335
"119","26702X",1103.03330811064
"120","26709V",28302.7435496796
"121","26712Q",4877806.88554241
"122","26720L",18213.4261703296
"123","26740L",3609942.74094493
"124","26824N",217278.730313547
"125","26873W",15043.1289999986
"126","26907P",182606.647476673
"127","26940W",14435.487184227
"128","269528",49964.6506634386
"129","269737",23730765.8459313
"130","269748",2239.04250317927
"131","26981J",8795.11481628888
"132","27014U",95257.1177019792
"133","27039N",17958.7735355037
"134","27055W",9376407.93407518
"135","27185U",315517.284054919
"136","280013",207903.560120363
"137","280043",22954.2651550514
"138","280082",14496792.5967
"139","280084",25852.7876775658
"140","280178",15453.1415850906
"141","280186",81438.2996075988
"142","280221",310721.839682242
"143","280240",14161.3572641775
"144","280266",325943.017551048
"145","280267",23545.8660622667
"146","280269",56319.6887811253
"147","280275",1216586.40748182
"148","280292",106672.442939819
"149","280296",173145.915156452
"150","280349",12456.9215755727
"151","280390",862.19722359046
"152","280407",151244.15058044
"153","280459",792778.15322146
"154","280460",149331.258041435
"155","280466",139334.098181121
"156","280696",69041.3724724566
"157","280697",587719.354821495
"158","280698",10819.3791854506
"159","280861",4635.16290764078
"160","280887",1286908.54082115
"161","280968",35195.2090642865
"162","289644",12411516.0317378
"163","289695",560117.361027964
"164","289862",3179198.17606641
"165","292807",284341.978719093
"166","294000",2650091.4469864
"167","294035",5085418.51972708
"168","294051",6646263.52662423
"169","294071",2386789.75729805
"170","294086",3948917.12551194
"171","294110",9234465.56911139
"172","294115",358287.675762303
"173","294202",10767691.3546137
"174","294219",2515414.04387865
"175","294221",212076.12072319
"176","294236",9606626.67567193
"177","294255",21037662.6757679
"178","294261",18393864.5415763
"179","294292",139565102.451962
"180","294309",4980632.82828359
"181","294324",4000975.36626999
"182","294358",29739771.3246697
"183","294371",3079405.49028897
"184","294380",7472352.54254101
"185","294385",11149958.1465071
"186","294390",3162318.63449994
"187","294396",5351089.75029777
"188","294404",18004602.6054172
"189","294456",5460531.81968952
"190","294473",6716668.30331361
"191","294545",5085543.204799
"192","294573",47243854.7672645
"193","294604",2091755.63997189
"194","294638",2003810.0398171
"195","294651",5306784.51575571
"196","294660",29218168.1263068
"197","297009",33299.938063117
"198","297037",69303.1492775887
"199","297043",70615.6506717143
"200","297045",196443.0659164
"201","297048",57668.616928464
"202","298778",312940.900251822
"203","299103",29624.6047203876
"204","313028",147633.067846117
"205","313493",132026.604264175
"206","314030",248950.555196015
"207","314031",145476.629396776
"208","314036",112035.116702482
"209","314053",136284.680033392
"210","314066",72311.6744729713
"211","314129",17704.4597586435
"212","314154",18387.3679120406
"213","314244",30312036.040763
"214","314527",18772283.468923
"215","314529",145498864.885549
"216","314542",4372777.95218525
"217","314560",1665640.80346393
"218","314572",9815860.00319355
"219","314578",14892212.5586101
"220","314579",66482252.932616
"221","314585",64218236.9153853
"222","314637",34284716.8911678
"223","314640",2821580.74876007
"224","314647",16090758.7707867
"225","314648",4242570.64472857
"226","314662",1976208.82374696
"227","314679",7681555.24923539
"228","314682",17054743.9307417
"229","314691",82226104.8100076
"230","314698",89192562.9072736
"231","314710",6225198.77329286
"232","314713",45425516.0034109
"233","314720",31984731.4275955
"234","314723",23648903.4888858
"235","314724",50564754.8443718
"236","314725",12625495.6014566
"237","314726",7766934.31704998
"238","314727",38668052.9766869
"239","314729",2696321.02503624
"240","314738",1384936.94648645
"241","314761",30557363.1673821
"242","314762",3278683.58935584
"243","314781",11521048.5585452
"244","314808",35097375.4330999
"245","314838",35768581.3389308
"246","314839",7879731.03459958
"247","314841",5638097.71679421
"248","314843",1789529.23438254
"249","314853",79121445.3615856
"250","314874",10512.1941796028
"251","314888",69006.2880093191
"252","314916",119691.430755123
"253","314958",58647.8009906303
"254","315026",19966.8163524284
"255","315035",253418.697437987
"256","315143",1378.72225115793
"257","315196",32082062.5696578
"258","315208",16336690.6127425
"259","315217",1380065.57282942
"260","315219",10123523.7384796
"261","315226",14163604.6402107
"262","315234",18792764.6081059
"263","315256",5329114.86989472
"264","315263",14875218.8758493
"265","315264",81397895.983103
"266","315361",80571.7697903045
"267","315365",197483.717136471
"268","315366",11131.4043857655
"269","315520",152966.488796274
"270","315525",10336157.0382569
"271","315531",5182.82295091909
"272","315534",54339.3237325945
"273","315558",330885.415757552
"274","315661",71738.6116975645
"275","315752",13836526.4292933
"276","315754",27655415.9519224
"277","315775",36712.5755852415
"278","315872",47886.7437045437
"279","316074",11576.6805283741
"280","316089",66616.8405345066
"281","316090",1194906.96124342
"282","316100",4238200.15719335
"283","316241",26425202.6927592
"284","316271",332697.421442146
"285","316304",61597.5561111532
"286","316311",53562923.4630184
"287","316327",20774.1848778342
"288","316528",31226.6728803074
"289","316567",16020651.2390465
"290","316659",6442.92798181023
"291","316660",1691.16670311563
"292","316665",49600.2570339167
"293","316674",5269597.72184666
"294","316682",27631673.0247788
"295","316829",81547.4266502366
"296","317182",38257.6401497634
"297","317220",2923.4936633202
"298","317483",515111.781588771
"299","317520",349726.555882835
"300","317561",1357743.31195626
"301","317789",141901.897967565
"302","317826",54645.3675929506
"303","32171L",455055.026992525
"304","323608",13684261.5416462
"305","356296",14190847.8984181
"306","356831",16907.8709295334
"307","356847",43071.2091036423
