Row,x_vect
"13117D",0
"13261X",0
"13379R",0
"13382J",0
"13439K",0
"140310",0
"140333",0
"140406",0
"140562",0
"140603",0
"140608",0
"140617",0
"140644",0
"14071H",0
"140774",0
"140830",0
"140831",0
"140904",0
"140908",0
"140993",0
"141030",0
"141032",0
"141042",0
"141098",0
"141376",0
"14357N",0
"14393E",0
"14398P",0
"14411V",0
"14434C",0.0499999316422922
"14449M",0
"14565Q",0
"146479",0
"14665J",0
"14697W",0
"14737M",0
"14737N",0
"14747N",0
"14833P",0
"14858M",0
"14875X",0
"14878R",0.0471318362800501
"14878U",0
"14881T",0
"14909M",0
"14926D",0
"14926N",0
"149280",0
"15108H",0
"15122P",0
"15122U",0
"15128F",0
"15130T",0
"15136W",0
"15141T",0.0014469108802418
"15152U",0
"15163C",0
"15163E",0
"15169W",0
"15173L",0
"15174Q",0.00587665662469325
"15210V",0
"15218M",0.00046680346886305
"15223W",0
"15224D",0
"15225V",0
"15242X",0
"15245L",0
"15284R",0
"15287L",0
"15353X",0.0135521598688137
"15363J",0
"15368T",0
"15372U",0.024074695178839
"153826",0
"15452X",0
"25529Q",0.00759731646386957
"25532J",0
"25569H",0
"256259",0
"256465",0
"256557",0
"256568",0
"256716",0
"25691U",0
"256947",0
"256948",0
"257119",0
"257147",0
"257152",0
"257167",0
"257236",0.044612109134875
"257238",0
"257241",0
"257271",0
"257385",0
"257412",0
"25743V",0
"25897N",0
"25967W",0
"26017U",0
"26024V",0
"26079L",0.00379070838321323
"26110W",0
"26149X",0
"26178T",0
"26178U",0
"261993",0
"26264P",0
"26272X",0
"26281U",0
"263062",0
"263068",0
"263088",0
"263097",0
"263158",0
"263181",0.00045761759410757
"263223",0
"263281",0
"263893",0
"264018",0
"264287",0
"26433U",0
"26464N",0
"26465D",0
"264783",0
"264789",0.049999942474997
"26488M",0
"26553P",0
"26557E",0
"265630",0
"265706",0
"26593D",0
"26599W",0
"26603K",0
"26608U",0
"266139",0
"26633K",0
"26641X",0
"26659N",0
"26659Q",0
"26675C",0
"26686V",0
"26702F",0
"26709V",0
"26773E",0
"26784V",0
"26797J",0
"26824N",0
"26907P",0
"26940W",0
"269528",0
"269737",0
"269748",0
"26981J",0
"26990D",0
"27014U",0
"27039N",0
"27043M",0
"27055W",0
"27112M",0
"27155W",0
"27257L",0
"27260X",0
"27274R",0
"27322J",0.0137878280855626
"27327C",0
"27337M",0.0499987783949811
"27372T",0
"27376C",0
"27386N",0
"27403W",0
"27552C",0
"27620X",0
"27621R",0
"27624D",0
"27761Q",0
"27920U",0
"27943X",0
"27944D",0
"280009",0
"280012",0
"280018",0
"280023",0
"28007W",0
"280082",0
"280084",0
"280092",0
"280142",0
"280178",0
"280186",0
"280263",0
"280267",0
"280275",0
"280292",0.0333900894041102
"280369",0
"280407",0
"280427",0
"280452",0
"280459",0
"280460",0
"280466",0
"280696",0.013955333189919
"280697",0
"280698",0
"280858",0
"280861",0
"280887",0
"280968",0
"28154F",0
"28199W",0
"28219L",0
"28222H",0
"28232Q",0
"28237M",0
"28238C",0
"28257M",0
"28258H",0
"28413H",0
"28487F",0
"28487H",0
