Row,x_vect
"140184",0
"140310",0
"140332",0
"140406",0
"140463",0
"140472",0
"140562",0
"140644",0
"140774",0
"140830",0
"140831",0
"140904",0
"140908",0
"141032",0
"141094",0
"141376",0
"141477",0
"280008",0.0198701038135584
"280012",0.0287145063251154
"280018",0
"280074",0
"280082",0
"280084",0
"280106",0
"280139",0
"280178",0
"280186",0
"280221",0
"280240",0
"280252",0
"280266",0
"280267",0
"280269",0
"280275",0
"280292",0
"280296",0
"280349",0
"280390",0
"280407",0
"280459",0
"280460",0
"280498",0
"280859",0
"280861",0
"280905",0
"280956",0.0499999990214653
"280957",0
"280968",0
"294000",0
"294035",0
"294051",0
"294052",0.018018376096263
"294053",0
"294069",0
"294086",0
"294114",0
"294144",0
"294226",0
"294236",0
"294254",0
"294261",0
"294292",0
"294314",0
"294358",0
"294371",0
"294380",0
"294385",0
"294390",0
"294404",0
"294456",0
"294467",0
"294485",0
"294487",0
"294490",0
"294540",0
"294573",0
"313028",0
"313493",0
"314030",0
"314031",0
"314036",0
"314044",0
"314066",0
"314129",0
"314154",0
"314241",0
"314244",0
"314272",0
"314527",0
"314529",0
"314542",0
"314547",0
"314553",0
"314560",0
"314572",0
"314578",0
"314585",0
"314640",0
"314647",0
"314648",0
"314655",0
"314679",0.0499999999364551
"314682",0
"314691",0
"314694",0
"314698",0
"314710",0
"314713",0
"314718",0
"314720",0
"314722",0
"314723",0
"314724",0
"314725",0
"314726",0.0499999995434512
"314727",0.0204188736506987
"314738",0
"314755",0
"314776",0
"314781",0.0499999999864025
"314808",0
"314826",0.0499999994147348
"314839",0
"314841",0
"314853",0
"314874",0
"314888",0
"314916",0
"314917",0
"314938",0
"314958",0
"315026",0
"315035",0
"315056",0
"315113",0.0499999993881504
"315117",0
"315141",0
"315153",0
"315204",0
"315208",0
"315217",0
"315219",0
"315234",0
"315256",0
"315257",0
"315264",0.0499999990888713
"315349",0
"315356",0
"315361",0
"315365",0
"315366",0
"315418",0
"315520",0
"315525",0
"315531",0
"315534",0
"315661",0
"315665",0
"315754",0
"315775",0
"315872",0
"315947",0.049999999965226
"316074",0
"316089",0
"316090",0
"316100",0
"316241",0
"316271",0
"316303",0
"316327",0
"316528",0
"316567",0
"316659",0
"316660",0
"316665",0
"316674",0
"316682",0
"316708",0
"316829",0
"317182",0
"317220",0
"317223",0
"317483",0
"317520",0
"317766",0
"317789",0
"317826",0
"323505",0
"323608",0
"356296",0
"356831",0
"356847",0
"356862",0
"356866",0
"356872",0
"356924",0
"356998",0
"362078",0
"362094",0
"362198",0
"362256",0
"362437",0
"362446",0
"500028",0
"500085",0
"500086",0
"500087",0
"500088",0
"500093",0
"500098",0
"501936",0
"502240",0
"502633",0
"502644",0
"502663",0
"502683",0
"502684",0
"502687",0
"502696",0
"502698",0
"502719",0
"502737",0.0499999999997643
"502739",0
"502740",0
"503095",0
"503292",0
"503421",0
"503491",0
"503507",0
"50623K",0
"530617",0
"530618",0
"530619",0
"530620",0
"530621",0
"530623",0
"530626",0
"530627",0
"530630",0
"530979",0
"539920",0
"540311",0
"540313",0
"540322",0
"540323",0
"540324",0
"540325",0
"540329",0
"540435",0
"540537",0
"540800",0
"540803",0
"540921",0
"675034",0
"675084",0
"675148",0
"675156",0
"675157",0
"675290",0
"675291",0
"675293",0
"675408",0
"675420",0
"675423",0
"675424",0
"675446",0
"675527",0
"675633",0
"675670",0
"675679",0
"675688",0
"675752",0
"675763",0
"675798",0
"675810",0
"675811",0
"675825",0
"675836",0
"675838",0
"675839",0
"675903",0
"675905",0
"675912",0
"675934",0
"675955",0
"675979",0
"675999",0
"691050",0
"691121",0
"691207",0
"691236",0
"691412",0
"691505",0
"691552",0
"691622",0
"691624",0
"691693",0
"691695",0
"691716",0
"691758",0
"691768",0
"691793",0
"691819",0
"691843",0
"691857",0
"691869",0
"691870",0
"691871",0
"691872",0
"691885",0
"691911",0
"691912",0
"691921",0
"691934",0
"691955",0
"695966",0
"700490",0
"729652",0
"729906",0
"741515",0
"741866",0
"755101",0
"755324",0
"755460",0
"756099",0
"756101",0
"756102",0
"756103",0
"756111",0
"756112",0
"756114",0
"756115",0
"756116",0
"756120",0
"756121",0
"756122",0
"756123",0
"756124",0
"756125",0
"756126",0
"756130",0
"756131",0
"756132",0
"756133",0
"756135",0
"756137",0
"756962",0
"756963",0
"756966",0
"756967",0
"756968",0
"756970",0
"756971",0
"756973",0.0499999996364744
"756974",0
"756975",0
"756977",0.0499999986312713
"756979",0
"756980",0
"756981",0
"771008",0
"771332",0
"771525",0
"771558",0.0499999981359583
"771574",0
"771582",0
"772045",0
"772055",0
"772056",0
"772057",0
"772058",0
"772078",0
"772089",0
"772090",0
"772091",0
"776886",0
"776949",0
"777078",0
"777080",0
"777085",0
"777111",0
"777116",0
"777120",0.0499938595835536
"777121",0
"777123",0
"777124",0.0499999902815919
"777128",0
"777129",0
"777141",0
"777146",0
"777152",0
"777157",0
"777395",0
"777400",0
"777401",0
"777404",0
"777407",0
"777411",0
"777413",0
"777418",0
"777421",0
"777423",0
"777424",0
"777425",0
"777433",0
"777450",0
"777455",0
"777870",0
"777882",0
"777883",0
"779571",0
"779574",0
"779675",0
"865111",0
"865165",0
"865169",0
"865177",0
"865276",0
