"","Id","RET"
"1","13117D",24095.6909031452
"2","13261X",179968.611369611
"3","13379R",1972833.86757419
"4","13382J",63537.0248773932
"5","13439K",15.2159868071517
"6","140310",36214.8155745698
"7","140333",1.03716189696039
"8","140376",3.42633692876843
"9","140406",11332.7937929955
"10","140562",22758.1905498001
"11","140603",18460.5368683715
"12","140608",12895.4010553178
"13","140644",6881.10639681715
"14","14071H",11537.6612372715
"15","140774",14652.6906640982
"16","140830",14583.6793498236
"17","140831",3317.22812617822
"18","140904",6093.76135476487
"19","140908",16326.804264472
"20","141032",5693.9276077501
"21","141098",10602.3194209959
"22","141376",11356.4650987259
"23","14357N",1953.02906104373
"24","14393E",520779.388079277
"25","14449M",12534.7930694236
"26","14565Q",258961.729569436
"27","146479",48798.511346607
"28","14697W",136542.074663946
"29","14737M",24102880.7562961
"30","14737N",216373.760570179
"31","14747N",35708.5650816091
"32","14761K",271359.400784009
"33","14833P",2866.14377341912
"34","14858M",10189.7944198577
"35","14868T",60672.2665216071
"36","14875X",7857.48211880388
"37","14878R",172849.448616185
"38","14878U",151599.87958255
"39","14881T",13929.1009422479
"40","149280",9513.94665512526
"41","15122P",23620.7769454694
"42","15128F",21032.6264985456
"43","15130T",22413.2323345134
"44","15136W",62963.183408623
"45","15141T",1645.59559245976
"46","15152U",9689.42775358873
"47","15163C",1207.00370819794
"48","15163E",3404.98878754264
"49","15173L",155675.669562066
"50","15210V",3098.15749432689
"51","15210W",9157.19464848631
"52","15223W",83811.7210849925
"53","15224D",5559.05973036906
"54","15242X",2551.33214976424
"55","15245L",70199.045001866
"56","15284R",12381.1904772742
"57","15287L",1471450.39762665
"58","15353X",2396.59999261418
"59","15363J",11535.3992092295
"60","15368T",86861.6845134872
"61","15372U",57803.6354081048
"62","15452X",5288.15982685364
"63","25504W",4194.18691446101
"64","256465",20030.363970476
"65","256557",189183.556273621
"66","256568",32887.5779083909
"67","256716",2600.09154827665
"68","25691U",5310.48719743712
"69","256947",6965.4828735468
"70","256948",6298.07600370329
"71","257005",2906.3165392313
"72","257119",10893.7118170926
"73","257147",13717.2986219
"74","257152",25034.3149510718
"75","257167",52713.1113883686
"76","257236",20942.1885724733
"77","257238",2786.91902367905
"78","257241",8466.35246613771
"79","257271",193264.088572178
"80","257276",142.269756204025
"81","257385",30924.3731598726
"82","257412",3150.50793227159
"83","25743V",1819.87111882649
"84","25897N",45.7570199153828
"85","25967W",2400.6659363787
"86","26017U",1552794.68217822
"87","26110W",561046.635192521
"88","26149X",10368.0295011593
"89","26178T",49538.5601075478
"90","26178U",2708.71215442691
"91","26196E",1234.81175317529
"92","261993",2900.80423766084
"93","26264P",42038.0029444231
"94","26272X",27999.3660754142
"95","26273N",5640.5869022122
"96","26281U",265677.586848078
"97","263062",37890.5500970654
"98","263068",8218.24774156551
"99","263088",15437.9310465106
"100","263097",10568.6133714756
"101","263181",2484.36190904095
"102","263281",1011.66628587389
"103","26375M",11881.8462693773
"104","263893",0.811838676979774
"105","264018",4683.78794488166
"106","264287",12861.3354417964
"107","26433U",28252.8242281694
"108","26464N",5940.92330351531
"109","26465D",32644.0865827312
"110","264783",5812.76442266899
"111","264789",7854.01114868391
"112","26488M",3512.62306040582
"113","265261",17252.9124084625
"114","26553P",0.891656587655916
"115","26557E",177116.041596482
"116","265630",5627.64677138103
"117","26593D",2070.97450765145
"118","26603K",5958.64274817482
"119","266139",4114.76019299714
"120","26618X",908.917181157554
"121","26633K",15553.9621156402
"122","26641X",10123.0482585006
"123","26659N",27418.8725083535
"124","26659Q",1988.12923847964
"125","26659R",7364.94933485512
"126","26675C",2952.77244198918
"127","26686V",11718.1894584436
"128","26702F",142.712442496917
"129","26709V",40081.5684704526
"130","267647",2321.90327676311
"131","26773E",90854.610549054
"132","26907P",41.4114190780972
"133","26940W",41036.302979859
"134","269528",14506.7644274718
"135","269737",139342.727112969
"136","269748",7533.99162648206
"137","26981J",327.859874683811
"138","26990D",14875.187477094
"139","27014U",6.41333209269733
"140","27039N",7851.62779255926
"141","27043M",10878.5516025371
"142","27112M",2.55539409326303
"143","27155W",17078.9062929285
"144","27257L",9347.06977847174
"145","27260X",5432.97001248689
"146","27273V",131.624297888909
"147","27274R",445474.446130636
"148","27322J",3071.69290273716
"149","27327C",98.1932852475509
"150","27337M",1524512.01727425
"151","27376C",0.566949097256584
"152","27386N",4328.1053087929
"153","27403W",7567.93018229833
"154","27552C",1585.83312290673
"155","27620X",14896.765054656
"156","27621R",17917.8448840857
"157","27624D",34282.638211493
"158","27761Q",1790.51201659966
"159","27908H",2846.33756621843
"160","27943X",6137.07201452207
"161","27966T",2449.49516968564
"162","27973V",44508.2153362066
"163","280012",13473.7004217907
"164","280018",598.06729854745
"165","280082",447183.181579028
"166","280084",4222.83121829274
"167","280142",1972963.48729852
"168","280178",8406.23422402981
"169","280186",2570.08589965737
"170","280221",1.99460470945213
"171","280263",10718.8686547366
"172","280267",7713.90203541746
"173","280275",8678.41784423527
"174","280280",1.84583750291808
"175","280292",16694.396534567
"176","280369",397513.439098458
"177","280407",4257.61218879744
"178","280427",7278.92576268167
"179","280452",5227.52694066918
"180","280459",4.30542246389436
"181","280460",100.552370186825
"182","280466",17840.1526139382
"183","280467",3594.54706914863
"184","280498",2817.88144753569
"185","280696",11957.3003005434
"186","280697",3929.71726891387
"187","280858",17116.6832225866
"188","280861",7479.11095194307
"189","280887",46.5033343226651
"190","280968",2397.13733663283
"191","28154F",15654.0272331946
"192","28154P",1660.7688149123
"193","28199W",12.741617505472
"194","28219L",1240.20607742924
"195","28222H",522.793030941706
"196","28232Q",20403.1597033313
"197","28238C",6319.61962242617
"198","28257M",20485.2607262908
"199","28258H",5750.09139936997
"200","28413H",378847.238160644
"201","28487F",30.4196950488751
"202","28487H",95.8017153715397
"203","28589J",8360.31783144747
"204","28603H",9365.19333238681
"205","28624L",5535.60107545933
"206","28737D",7831.17079160901
"207","28747J",4293.7699383991
"208","28747L",25200.6779407302
"209","28798E",4798.78823757787
"210","28866E",8.45105573103415
"211","289644",150889.062245833
"212","28973L",5417.61428931187
"213","28985K",2696.85701143166
"214","289862",30908.4867356553
"215","29000M",5683.62561396836
"216","29042F",2281.20320148364
"217","29101D",3393.15854198775
"218","29102C",8104.89527294837
"219","29168W",5884.28214122439
"220","29181M",336963.74141433
"221","29235V",52437.4078966095
"222","292807",12422.0177594782
"223","29301D",4345.90183652389
"224","29343R",1641.78744118492
"225","294000",27777.3082793029
"226","294006",53973.0952028124
"227","294051",787736.183342231
"228","294053",1440926.45865297
"229","294069",72372.1503038905
"230","294071",74011.6381333508
"231","294088",95966.0598032982
"232","294124",710082.645969635
"233","294127",151373.928614642
"234","294175",82975.6000891538
"235","294180",265078.33284826
"236","294206",66273.8251969814
"237","294221",64629.5030090663
"238","294236",113350.780261516
"239","294261",12132.3264880078
"240","294276",114981.959207919
"241","294292",133303.058335622
"242","294309",112228.073156866
"243","294324",2510544.59029393
"244","294390",69410.7895818436
"245","294396",100262.814013922
