"","Id","RET"
"1","13117D",-9.39907589404927e+58
"2","13261X",-1.88230642479717e+54
"3","13379R",1.77076665161465e+25
"4","13382J",2.76737440730767e+49
"5","140310",9.1642015159623e+51
"6","140406",-4.90263818902292e+43
"7","140562",1.5443413175438e+67
"8","140608",-6.29209246843525e+57
"9","140617",4.33824736103692e+30
"10","140644",-3.7896600611849e+44
"11","140774",6.34895510871008e+48
"12","140830",-1.72536668422712e+37
"13","140831",-8.05239989769008e+27
"14","140904",1.09340257238595e+41
"15","141030",-6.9181640382601e+52
"16","141032",3.14500865453864e+47
"17","141042",-6.45804945822686e+30
"18","141098",1.993884783775e+49
"19","141376",-8.5615161886556e+49
"20","14315H",330051.587356753
"21","14357N",-7.66258830714211e+42
"22","14393E",-2.16733012776458e+81
"23","14398P",-6.15080604225146e+45
"24","14411V",6.84868753450411e+36
"25","14449M",5.87040300929323e+66
"26","14472L",3.83014526464377e+29
"27","14476Q",1.32773585161994e+24
"28","14565Q",-2.58176750113002e+55
"29","146479",9.44934311731519e+44
"30","14665J",8.6899265664915e+58
"31","14737M",4.15833872839347e+44
"32","14737N",-4.93140020036796e+36
"33","14747N",1.99538966019955e+26
"34","14761K",-7.70673731301798e+54
"35","14833P",-6.13562967359462e+44
"36","14858M",7.42442398202476e+48
"37","14868T",-4.74029013534301e+58
"38","14875X",-1.35803106874232e+51
"39","14878R",5.3923635229332e+51
"40","14878U",8.24145844615256e+50
"41","14909M",-3.15140023492401e+61
"42","14926D",3.66627886257476e+43
"43","149280",-9.31046475082464e+51
"44","15122P",-8.59466430512126e+56
"45","15128F",1.4918502915824e+43
"46","15128R",3.56086822007784e+57
"47","15130T",4.32306780301389e+42
"48","15136W",4.86844455650542e+40
"49","15152U",-2.04194336961877e+47
"50","15169W",1.00074989183164e+32
"51","15173L",4.21909937562091e+54
"52","15179T",1.90873293468868e+30
"53","15210W",2.94532537616483e+50
"54","15223W",-8.76478502484414e+56
"55","15224D",-2.03912070484934e+52
"56","15242X",9.27358844470959e+47
"57","15284R",1.21831372918943e+45
"58","15287L",-1.50582163250706e+62
"59","15353X",-4.62902326644012e+38
"60","15363J",-1.30575301050804e+45
"61","15372U",-6.08272213664056e+50
"62","15452X",1.30278829294629e+46
"63","15470W",144445193560196288
"64","25518N",1.44395408865547e+55
"65","256259",9.33286491091793e+31
"66","256465",2.21580086550014e+38
"67","256557",-3.63363381324829e+41
"68","256568",-1.43034693680136e+43
"69","256716",3.51695010544315e+45
"70","25691U",3.5251061673933e+42
"71","256947",-6.85383827261252e+41
"72","256948",8.63297511967331e+48
"73","257119",-1.55525923636965e+50
"74","25713L",1.171701732494e+37
"75","257147",1.35699688260344e+45
"76","257167",6.17771999636054e+53
"77","257236",-6.83503451315558e+44
"78","257238",3.30232567310232e+48
"79","257241",1.02759686064386e+47
"80","257271",5.39552592565727e+48
"81","257385",4.22593831738079e+34
"82","257412",1.23156417193815e+48
"83","25897N",1.6186222245953e+28
"84","259511",-7.17189055733939e+57
"85","25967W",1.01494973629986e+26
"86","26017U",8.40990978615822e+53
"87","26149X",-2.06206027317625e+55
"88","26178T",2.63282200283828e+39
"89","261993",-7.19960881043237e+38
"90","26264P",-3.4215410737681e+49
"91","26272X",-1.74434898471482e+50
"92","26273N",-7.66763362866848e+52
"93","26281U",-3.495303058274e+51
"94","263053",-2.77588591010152e+55
"95","263062",-3.81160369858995e+54
"96","263068",-5.26767544743106e+42
"97","263088",-2.80104216117129e+35
"98","263097",6.04596425419591e+58
"99","263181",-1.39445491818828e+33
"100","263281",1.31733599637941e+49
"101","26382E",6.96535855918848e+62
"102","263893",-8.09643272672897e+31
"103","264018",1.59569241049071e+51
"104","264287",-4.43806796830728e+57
"105","26433U",-9.23972855240858e+44
"106","26464N",-4.65854750387021e+45
"107","26465D",-7.49938854832838e+58
"108","264783",5.62988414211589e+52
"109","264789",3.85867280514318e+41
"110","26488M",4.50743520752365e+45
"111","26553P",-4.07486407731163e+26
"112","26557E",-3.9400856192857e+51
"113","26603K",-4.45482563796336e+45
"114","26608U",4.06460976883368e+23
"115","266094",1.72388325616276e+50
"116","266139",-2.31658611467132e+29
"117","26633K",-2.82070900256382e+55
"118","266400",1.82523874345074e+52
"119","26641X",6.74069875214335e+40
"120","26659N",2.89667383603485e+57
"121","26659Q",-5.62465379407086e+47
"122","26675C",-5.21502443512632e+52
"123","26686V",1.23352082812952e+50
"124","26689P",1.1329499525098e+31
"125","26709V",-3.57152906961136e+46
"126","26712Q",-3.72890988466814e+64
"127","26784V",-7.49607371291747e+37
"128","26797J",6.96941266988949e+31
"129","26907P",-1.95235887430293e+37
"130","26924V",37364849613.3502
"131","26940W",4.1936330916807e+46
"132","269528",-1.32854628749128e+50
"133","269737",4.65308971088771e+47
"134","269748",1.42978512950661e+56
"135","27014U",1.5918217934339e+26
"136","27039N",7.59245675864438e+51
"137","27043M",-1.9700435881461e+37
"138","27055W",4.41929212209187e+59
"139","27073N",25632603208.6028
"140","27110W",74311614702140128
"141","27112M",811175021972864128
"142","27155W",1.08839437961478e+41
"143","27257L",-1.09696137662111e+34
"144","27274R",-5.05040970134086e+61
"145","27337M",4.95098988646144e+36
"146","27372T",17010838311307573248
"147","27376C",4.3203010635735e+25
"148","27386N",9.5644204358916e+42
"149","27403W",-3.34689236394342e+43
"150","27552C",4.39069292350016e+41
"151","27620X",-1.53512717927004e+41
"152","27621R",-1.06430470238422e+45
"153","27624D",3.39712387107349e+36
"154","27761Q",5.9476654932365e+33
"155","27920U",-8.43233511914285e+36
"156","27943X",-2.23469970263087e+42
"157","27944D",2.41583883153262e+42
"158","280023",1.31976423400331e+25
"159","280082",-1.135694202277e+71
"160","280084",9.7055402289724e+43
"161","280092",1.22894398971245e+62
"162","280093",4888116927267.11
"163","280142",-2.07658189406584e+75
"164","280178",-2.49543407127609e+53
"165","280186",-2.26123662495024e+53
"166","280263",-5.12642637211817e+48
"167","280267",-8.80949709411276e+30
"168","280275",-3.15227299106177e+45
"169","280292",1.36211596765797e+69
"170","280369",2.16166763090631e+49
"171","280407",-6.66789892107037e+40
"172","280435",9.1257686445408e+48
"173","280459",-6.36850721459296e+28
"174","280460",-1.00251290149768e+42
"175","280466",1.3942203748318e+53
"176","280696",1.21582548238335e+49
"177","280698",-5.07388815554322e+50
"178","280858",1.74171458541467e+50
"179","280861",-2.38369454666906e+50
"180","280968",1.00128623160174e+29
"181","28154F",2.16389527949947e+42
"182","28199W",8.64697964462184e+37
"183","28213D",9.08608641111518e+30
"184","28219L",2.73911757487293e+47
"185","28222H",7.30911651477517e+30
"186","28232P",1.45810658113315e+53
"187","28232Q",9.96533500391032e+38
"188","28238C",-7.8874569149289e+45
"189","28257M",5.5863754383698e+41
"190","28258H",-3.80213219957395e+39
"191","28413H",-2.4478920255263e+54
"192","28487F",3.81888329477175e+39
"193","28534W",-4.5651074159488e+36
"194","28589J",-2.38311201476794e+43
"195","28603H",-2.15256178104556e+41
"196","28624L",-1.66234946780919e+44
"197","28747J",-5.03689923327919e+25
"198","28747L",-4.14891583197123e+44
"199","28798E",3.62237837004743e+26
"200","28866E",1.3840257242661e+39
"201","28948R",1.28220531675623e+25
"202","289644",3.81313636921463e+69
"203","289862",-1.74459740190916e+49
"204","29000M",3.31656856427838e+28
"205","29042F",2.66128809873653e+35
"206","29101D",-1.24561367274032e+30
"207","29102C",-2.73250690904935e+33
"208","29168W",2.126959917307e+36
"209","29181M",-1.24352507682635e+36
"210","29235V",-5.72984735637634e+33
"211","292807",-1.16765920446793e+48
"212","29343R",-1.41655492923129e+42
"213","29393C",-3.03258523208458e+47
"214","294000",2.66625418540313e+53
"215","294001",5.0339236084721e+62
"216","294006",-1.97800801956059e+36
"217","294051",3.87846522272068e+45
"218","294053",1.29623711689182e+80
"219","294054",1.56280305760742e+67
"220","294069",-2.04703891732698e+52
"221","294071",-6.24327183968456e+45
"222","294088",-8.98613354284691e+24
"223","294114",-1.07246452909307e+52
"224","294124",-1.40663410151272e+52
"225","294127",2.7679070693005e+28
"226","294152",6756127507227.27
"227","294153",53034318249983.4
"228","294157",-1.24364995603773e+60
"229","294180",-8.03114272924771e+47
"230","294206",2.06513507263038e+54
"231","294221",-3.87494140637801e+46
"232","294234",9.17938054070183e+77
"233","294236",6.07716747104264e+61
"234","294261",2.91287888476569e+51
"235","294267",4.17194835147852e+54
"236","294274",1.17127846298357e+37
"237","294276",4.55644476166998e+55
"238","294292",6.61003826343073e+57
"239","294324",3.81665133699887e+43
"240","294356",-9.93871462222947e+26
"241","294371",2.74292668593177e+48
"242","294386",-1.62056136033503e+37
"243","294390",3.58285261046615e+55
"244","294417",-2.84138958601747e+57
"245","294446",3.06404732753293e+55
"246","294456",-1.02859134885697e+62
"247","294474",-8.85504606471696e+43
"248","294488",-4.41494117932277e+37
"249","294511",-8.93323623170003e+43
"250","294561",-1.958165401703e+29
"251","294604",-2.38971542311565e+50
"252","294653",-3.72658508146321e+56
"253","294660",-2.39978653554153e+59
"254","29548V",4.94643102136195e+39
"255","297036",-1.99626870992821e+53
"256","297037",4.09630496329349e+49
"257","297048",2.78268376652558e+51
"258","297127",-5.0455851642323e+24
"259","29717W",-2.81306416123251e+25
"260","29770Q",4.01200730610194e+37
"261","298293",2.41681809014581e+32
"262","29830F",-3.36269263180289e+39
"263","298422",2.37166556180926e+37
"264","29910N",6.52012698325889e+42
"265","29924E",6.00244184116851e+39
"266","29987Q",-4.69759296625627e+24
"267","30063X",2.20589606171985e+38
"268","30185X",1.12019047397537e+28
"269","30186C",9.27388959547529e+38
"270","30224F",4.45346221779481e+20
"271","30243M",-2.33207397709232e+32
"272","30342P",6.31840451971842e+55
"273","30384C",-4.4721799618411e+30
"274","30410D",1.54998671584306e+38
"275","30428X",9.40393322478147e+28
"276","30725W",4.96551274398578e+29
"277","30726E",1.76198948341427e+34
"278","30743P",2.88425669276376e+33
"279","30866H",1.70701291469299e+32
"280","30903R",3.17386330199281e+31
"281","31120C",4.90156607989248e+28
"282","31191L",1.11266557454111e+31
"283","31192C",-3.06385247636036e+36
"284","31192E",2.98666602458613e+29
"285","31192F",4.74678038258466e+31
"286","31192J",1.33796499322617e+30
"287","31192U",4388641636643862
"288","31193F",8.85847675038327e+23
"289","31193R",-1.57273550521621e+33
"290","311998",4.11845598722579
"291","31216W",71847932939091435520
"292","312570",-5.82397235296231e+30
"293","31270Q",1.49655513374626e+36
"294","31293P",1.06680530833276e+38
"295","313028",2.53401389829489e+54
"296","313493",-3.24761216837971e+51
"297","314030",2.34747785639224e+31
"298","314036",1.66107439977098e+53
"299","314053",3.74245812309569e+42
"300","31405X",-2.19837868179982e+32
"301","314063",-54366989573844656
"302","314064",1.44995856454548e+35
"303","314129",-1.29390745257006e+37
"304","314154",-9.9996369637101e+31
"305","31422T",-4.70569859742312e+28
"306","314240",-2.57863226894941e+54
"307","314241",-2.61234582029577e+79
"308","314244",5.5709967268333e+84
"309","314253",-1.28215759059961e+61
"310","314264",3.10778894355909e+73
"311","31434X",3.0886405938371e+27
"312","31445D",1.64820846021752e+21
"313","31445U",1.99877241606446e+32
"314","31447H",7.25765634893041e+21
"315","314527",1.04025911869175e+40
"316","314540",4.00898715115155e+57
"317","314542",-6.39598997860291e+53
"318","314560",-3.56163889367495e+30
"319","314563",-1.74924388114688e+39
"320","314572",-7.38267944806712e+44
"321","314578",1.17903777941243e+71
"322","314579",2.82165512552075e+90
"323","314604",-1.78612383519268e+37
"324","314634",9.29349763964752e+77
"325","314640",-3.22229392057515e+46
"326","314647",2.3043366326689e+54
"327","314661",1.61720196062589e+65
"328","314679",5.68299125950695e+66
"329","314682",-1.15174871044181e+62
"330","314691",1.80512990269697e+78
"331","314697",-2.29338374253153e+57
"332","314698",4.73544254076414e+51
"333","314703",-2.14117151150756e+50
"334","314710",3.74407228850397e+54
"335","314713",-3.88462000000604e+68
"336","314715",5.60255170043809e+55
"337","314718",1.46404617229818e+74
"338","314720",1.47729503496324e+55
"339","314724",1.65185510490764e+53
"340","314726",6.06231160494549e+76
"341","314755",-4.0287120020079e+53
"342","314761",-1.08501686710114e+61
"343","314762",-4.11609171473126e+64
"344","314808",-4.85288196546456e+74
"345","314825",1.01972094372927e+68
"346","314826",-2.1626805151875e+60
"347","314839",2.85412857819525e+53
"348","314841",2.4006204451744e+49
"349","314843",3.75698713987839e+44
"350","314848",7.78337093108732e+65
"351","314854",2.67748196710787e+43
"352","314857",1.82087782668088e+51
"353","314874",23510355761905319936
"354","314916",1.4396560143214e+39
"355","314958",4.93702485107648e+50
"356","315026",-1.76446169329904e+36
"357","315035",-5061.03970751153
"358","315141",1.28992488511287e+35
"359","315203",1.42262421826697e+58
"360","315209",-3.40136205165581e+56
"361","315217",-1.49999008296694e+53
"362","315218",-1.27682644060973e+67
"363","315234",1.74882792753753e+69
"364","315256",-3.45457537758525e+62
"365","315258",1.36923299898279e+60
"366","315263",1.24507606033448e+71
"367","315349",1.43048937184298e+67
"368","315355",9.12158980735099e+39
"369","315361",-5.75676239348388e+50
"370","315365",-8.21180078901982e+68
"371","315366",-5.06524125116456e+33
"372","315521",-1.12085901809127e+44
"373","315525",9.98426442915279e+37
"374","315531",1.10627928269419e+38
"375","315534",8.38711228953228e+45
"376","315563",139469.868701248
"377","315597",5001.92379592807
"378","315661",-3.86874053389674e+34
"379","315737",2006038609377320960
"380","315752",1.1405479582049e+76
"381","315754",1.01656408042446e+47
"382","315775",-1.2354319765225e+26
"383","315811",5.2436697554409e+21
