y,portfolio_ret,ret,Portfolio_Value
1995,0.10332563381206351,1.1033256338120636,NA
1996,0.20029067651480872,1.2002906765148087,110.33256338120636
1997,-0.47799851904269686,0.5220014809573031,132.4311471424412
1998,0.894463139865852,1.894463139865852,69.12925493322882
1999,-0.13869491849102145,0.8613050815089786,130.96282535739164
2000,-0.1923763092854183,0.8076236907145817,112.79894696909432
2001,0.10342556965342312,1.1034255696534232,91.09910185989834
2002,0.013118248759485272,1.0131182487594852,100.52107836467354
2003,0.2661379300356056,1.2661379300356055,101.83973887623303
2004,0.36043156683085364,1.3604315668308535,128.94315617612025
2005,0.2560127196593469,1.256012719659347,175.41833998879474
2006,0.5057012782512286,1.5057012782512285,220.3276662874541
2007,-0.1375716934568569,0.8624283065431431,331.7476487631297
2008,-0.1446756267658742,0.8553243732341258,286.1085629224554
2009,0.28267408114326226,1.2826740811432622,244.7156272585656
2010,0.1457959856622164,1.1457959856622164,313.8903923352776
2011,-0.2263481443052679,0.773651855694732,359.6543514756993
2012,0.12460770791456056,1.1246077079145607,278.2472564278601
2013,0.12902510519264077,1.1290251051926408,312.9190092848508
2014,0.07898672474354325,1.0789867247435432,353.2934173746056
2015,-0.04604830612514301,0.953951693874857,381.1989072864793
2016,0.0014338810352076015,1.0014338810352077,363.6453433091815
2017,0.05998989457243356,1.0599898945724335,364.1667674704941
2018,-0.25463598118282055,0.7453640188171795,386.01309345783295
